SIC
NASDAQ:AABA
NASDAQ:AAL
NASDAQ:AAPL
NASDAQ:ABXN
NASDAQ:AGNN
NASDAQ:AIG
NASDAQ:AKS
NASDAQ:AMD
NASDAQ:AMZN
NASDAQ:AXP
NASDAQ:BA
NASDAQ:BABAN
NASDAQ:BAC
NASDAQ:BBDBN
NASDAQ:BBY
NASDAQ:BIDUN
NASDAQ:BLK
NASDAQ:BMY
NASDAQ:BRKB
NASDAQ:CAT
NASDAQ:CELG
NASDAQ:CHK
NASDAQ:CLF
NASDAQ:CMCSA
NASDAQ:CMG
NASDAQ:COST
NASDAQ:CRM
NASDAQ:CSN
NASDAQ:CSCO
NASDAQ:CVS
NASDAQ:CVX
NASDAQ:DAL
NASDAQ:DBN
NASDAQ:DDD
NASDAQ:DIS
NASDAQ:EBAY
NASDAQ:EMR
NASDAQ:F
NASDAQ:FB
NASDAQ:FCX
NASDAQ:FDX
NASDAQ:FSLR
NASDAQ:GE
NASDAQ:GILD
NASDAQ:GM
NASDAQ:GOOG
NASDAQ:GOOGL
NASDAQ:GPRO
NASDAQ:GS
NASDAQ:HAL
NASDAQ:HD
NASDAQ:HPQ
NASDAQ:IBM
NASDAQ:INTC
NASDAQ:JCP
NASDAQ:JNJ
NASDAQ:JPM
NASDAQ:LLY
NASDAQ:LUV
NASDAQ:LVS
NASDAQ:MA
NASDAQ:MCF
NASDAQ:MCK
NASDAQ:MGM
NASDAQ:MSFT
NASDAQ:MU
NASDAQ:NESNN
NASDAQ:NFLX
NASDAQ:NKE
NASDAQ:NVDA
NASDAQ:ORCL
NASDAQ:PBRN
NASDAQ:PFE
NASDAQ:PG
NASDAQ:WCOM
NASDAQ:RDSA
NASDAQ:RDSB
NASDAQ:SBUX
NASDAQ:SLBN
NASDAQ:SMSNN
NASDAQ:SN
NASDAQ:T
NASDAQ:TCEHYN
NASDAQ:TRN
NASDAQ:TSLA
NASDAQ:TWTR
NASDAQ:TX
NASDAQ:UAA
NASDAQ:UNH
NASDAQ:UTSI
NASDAQ:V
NASDAQ:VALEN
NASDAQ:VLO
NASDAQ:VRXN
NASDAQ:VZ
NASDAQ:WFC
NASDAQ:WMT
NASDAQ:WYNN
NASDAQ:X
NASDAQ:XOM
