INTERNACIONAL
NASDAQ:AAXJ
NASDAQ:ACWI
NASDAQ:AGG
NASDAQ:DBEU
NASDAQ:DBJP
NASDAQ:DBO
NASDAQ:DDM
NASDAQ:DFE
NASDAQ:DIA
NASDAQ:DIG
NASDAQ:DOG
NASDAQ:DVY
NASDAQ:DXD
NASDAQ:DXJ
NASDAQ:EDC
NASDAQ:EDZ
NASDAQ:EEM
NASDAQ:EEMV
NASDAQ:EMB
NASDAQ:EPP
NASDAQ:EWA
NASDAQ:EWC
NASDAQ:EWG
NASDAQ:EWH
NASDAQ:EWI
NASDAQ:EWJ
NASDAQ:EWL
NASDAQ:EWP
NASDAQ:EWQ
NASDAQ:EWT
NASDAQ:EWU
NASDAQ:EWY
NASDAQ:EWZ
NASDAQ:EZU
NASDAQ:FAS
NASDAQ:FAZ
NASDAQ:FEZ
NASDAQ:FVD
NASDAQ:FXI
NASDAQ:GDX
NASDAQ:GDXJ
NASDAQ:GLD
NASDAQ:GSG
NASDAQ:HEDJ
NASDAQ:HEWG
NASDAQ:HEWJ
NASDAQ:HEZU
NASDAQ:HYG
NASDAQ:IAU
NASDAQ:IBB
NASDAQ:IEI
NASDAQ:IEV
NASDAQ:INDA
NASDAQ:IVV
NASDAQ:IWM
NASDAQ:IYF
NASDAQ:IYG
NASDAQ:IYH
NASDAQ:IYW
NASDAQ:LQD
NASDAQ:MCHI
NASDAQ:PFF
NASDAQ:PSQ
NASDAQ:QLD
NASDAQ:QQQ
NASDAQ:RSX
NASDAQ:SHV
NASDAQ:SHY
NASDAQ:SLV
NASDAQ:SPY
NASDAQ:TIP
NASDAQ:TLT
NASDAQ:TWM
NASDAQ:USMV
NASDAQ:USO
NASDAQ:UWM
NASDAQ:VEA
NASDAQ:VGK
NASDAQ:VNQ
NASDAQ:VOO
NASDAQ:VT
NASDAQ:VTI
NASDAQ:VWO
NASDAQ:XLE
NASDAQ:XLF
NASDAQ:XLI
NASDAQ:XLK
NASDAQ:XLP
NASDAQ:XLU
NASDAQ:XLV
NASDAQ:XLY
NASDAQ:XOP
